# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11992
#@/user_id	Family-Windows11
a 	啊	c=124 d=2.86226 t=11992
jiu mei 	就沒	c=1 d=0.116601 t=11992
jiu mei le 	就沒了	c=1 d=0.449329 t=11992
jiu mei shou shi 	就沒收拾	c=1 d=0.722527 t=11992
jiu mei wen ti 	就沒問題	c=2 d=1.33287 t=852
jiu ni 	就你	c=2 d=0.206992 t=9527
jiu ni gen 	就你跟	c=1 d=1 t=9528
jiu pa 	就怕	c=2 d=0.113774 t=6776
jiu qu 	就去	c=1 d=0.97531 t=11992
jiu qu na li 	就去那裏	c=1 d=1 t=1112
jiu ren yan 	就任岩	c=1 d=1 t=9980
jiu sh 	就sh	c=1 d=1 t=11145
jiu shi 	就是	c=58 d=0.826723 t=11992
jiu shi 	救市	c=3 d=0.845879 t=11992
jiu shi ge 	就是咯	c=1 d=1 t=1871
jiu shuo 	就说	c=1 d=1 t=11756
jiu suan 	就算	c=0 d=0.1 t=4671
jiu suan le 	就算了	c=1 d=1 t=4672
jiu sui 	九歲	c=1 d=0.83527 t=11992
jiu wan shi 	就完事	c=2 d=1.57407 t=9393
jiu wen 	就問	c=0 d=0.1 t=5361
jiu wen le 	就穩了	c=1 d=1 t=3615
jiu wen yi ha 	就問一哈	c=1 d=1 t=5362
jiu wo 	就我	c=1 d=0.123245 t=4345
jiu wo de 	就我的	c=1 d=1 t=4346
jiu wo liang 	就我兩	c=2 d=1.78663 t=4097
jiu wo yi ren 	就我一人	c=1 d=1 t=3321
jiu xi huan 	就喜歡	c=0 d=0.1 t=4160
jiu xia qu 	就下去	c=2 d=1.9802 t=6399
jiu xian 	就先	c=2 d=0.178175 t=11992
jiu xiang 	就想	c=0 d=0.1 t=6144
jiu xiang 	就象	c=1 d=1 t=5099
jiu xiang shen qing 	就想申請	c=1 d=1 t=1176
jiu xiang tao bi 	就想逃避	c=1 d=1 t=6145
jiu xing 	就行	c=6 d=0.27406 t=11992
jiu xing le 	就行了	c=38 d=0.889281 t=11992
jiu yao 	就要	c=1 d=0.779816 t=11992
jiu yao shou shi 	就要收拾	c=1 d=0.683861 t=11992
jiu yi ge 	就一個	c=1 d=0.790571 t=11992
jiu you 	就又	c=0 d=0.1 t=10287
jiu you jie kou 	就又接口	c=1 d=1 t=10288
jiu zai 	就再	c=5 d=1.01246 t=8778
jiu zai jia 	就再家	c=1 d=1 t=6406
jiu zai shuo 	久在說	c=1 d=1 t=10216
jiu zai yong le 	就再用了	c=1 d=1 t=1092
jiu zhan shi 	就展示	c=1 d=1 t=10959
jiu zhe 	就着	c=0 d=0.1 t=9068
jiu zhe ge 	就這個	c=5 d=1.00882 t=6460
jiu zhe me 	就這麼	c=1 d=0.65377 t=11992
jiu zhe yang 	就這樣	c=3 d=0.315709 t=9724
jiu zhe zhou mo 	就着週末	c=1 d=1 t=9069
jiu zhi xing 	就執行	c=1 d=1 t=25
jiu zhou er 	就週二	c=1 d=1 t=9170
jiu zou 	就走	c=0 d=0.1 t=955
jiu zou le 	就走了	c=1 d=1 t=10514
ju jue 	拒絕	c=1 d=1 t=2343
ju ran 	居然	c=4 d=0.0364432 t=11992
ju shi 	局勢	c=0 d=0.1 t=3864
ju ti 	具體	c=2 d=1 t=6222
ju zhu zheng 	居住證	c=4 d=3.01466 t=1126
jue de 	覺得	c=1 d=0.1 t=10481
jue ding 	決定	c=4 d=1.63997 t=3692
jue dui 	絕對	c=1 d=0.1 t=10231
jue dui shi 	絕對是	c=1 d=1 t=10232
jun 	峻	c=0 d=0.1 t=1473
jun 	軍	c=1 d=1 t=6890
ka fei jian 	咖啡鹼	c=0 d=0.1 t=5190
ka le 	卡了	c=1 d=1 t=10685
ka le 	卡勒	c=0 d=0.1 t=927
ka le ba 	卡勒吧	c=1 d=1 t=928
ka tui 	卡退	c=1 d=1 t=1464
kai 	開	c=2 d=1.0007 t=9680
kai ce 	開測	c=1 d=1 t=8768
kai che 	開車	c=3 d=0.302704 t=11992
kai da 	開打	c=1 d=1 t=3135
kai de 	開得	c=1 d=0.585669 t=11992
kai deng 	開燈	c=1 d=1 t=5172
kai duo le 	開多了	c=1 d=1 t=1074
kai fa 	開法	c=1 d=0.0332069 t=11992
kai fa 	開發	c=11 d=1.956 t=11729
kai fa ce shi 	開發測試	c=1 d=1 t=2803
kai fang 	开放	c=1 d=1 t=11708
kai fang 	開放	c=1 d=0.0223708 t=11992
kai ge 	開個	c=0 d=0.139063 t=10753
kai ge hui 	開個會	c=1 d=1 t=10754
kai ge tou 	開個頭	c=1 d=1 t=10566
kai guo 	開鍋	c=3 d=2.65289 t=10210
kai hui 	開會	c=4 d=1.00006 t=11725
kai kuo 	開闊	c=0 d=0.1 t=925
kai le 	開了	c=1 d=0.272007 t=11992
kai le xia 	開了下	c=1 d=0.0623495 t=11992
kai shi 	開始	c=6 d=1.04931 t=11373
kai shi 	開示	c=1 d=1 t=2847
kai shi an zhuang 	開始安裝	c=1 d=1 t=8362
kai shi qi lai 	開始起來	c=1 d=1 t=4944
kai xia 	開下	c=1 d=1 t=666
kai zhe 	開着	c=1 d=1.00271 t=3342
kai zhe mei 	開着沒	c=1 d=1.08511 t=2624
kan 	看	c=20 d=0.106906 t=11992
kan a 	看啊	c=1 d=1 t=1996
kan an pai 	看安排	c=1 d=1 t=809
kan bu chu lai 	看不出來	c=1 d=1 t=866
kan bu dao 	看不到	c=3 d=0.715808 t=6425
kan bu men 	看部門	c=1 d=1 t=4449
kan dao 	看到	c=2 d=1 t=8599
kan dao 	砍倒	c=0 d=0.1 t=1214
kan dao le 	看到了	c=2 d=1.00015 t=3262
kan dao ni 	看到你	c=1 d=1 t=11612
kan de 	看的	c=5 d=0.416536 t=11992
kan de dao 	看得到	c=0 d=0.1 t=8200
kan de dong 	看得懂	c=1 d=1 t=1970
kan guo 	看過	c=0 d=0.1 t=1028
kan guo le 	看過了	c=1 d=1 t=1029
kan hou 	看後	c=0 d=0.186071 t=3992
kan hou mian 	看後麪	c=1 d=1 t=3963
kan hou xu 	看後續	c=1 d=1 t=3993
kan ji lu 	看記錄	c=1 d=1 t=9932
kan kan 	坎坎	c=1 d=0.054204 t=11992
kan kan 	看看	c=12 d=0.83527 t=11992
kan le 	看了	c=4 d=1.00101 t=6846
kan le lai 	看了來	c=1 d=1 t=10812
kan le mei 	看了沒	c=0 d=0.1 t=2751
kan le xia 	看了下	c=1 d=1 t=11572
kan na 	看那	c=0 d=0.1 t=2776
kan na bian 	看那便	c=1 d=1 t=2777
kan ni 	看你	c=2 d=0.718924 t=11992
kan ni he bu he 	看你喝不喝	c=1 d=1 t=4934
kan ni men 	看你們	c=1 d=1 t=9878
kan qing kuang 	看情況	c=2 d=1 t=9976
kan ri zhi 	看日誌	c=1 d=0.0174224 t=11992
kan sha 	看啥	c=1 d=1 t=7603
kan shi pin 	看視頻	c=1 d=1 t=9068
kan ta 	看她	c=1 d=1 t=6375
kan xia 	看下	c=11 d=1 t=10981
kan xia ai 	看下唉	c=6 d=0.125447 t=11881
kan xie 	看些	c=0 d=0.1 t=8201
kan xu qiu 	看需求	c=1 d=1 t=1543
kan yi 	看一	c=0 d=0.1 t=6134
kan yi ha 	看一哈	c=1 d=1 t=6135
kan yi xia 	看一下	c=1 d=1 t=7409
kan zhe 	看着	c=3 d=0.880796 t=11992
kan zhe ge 	看這個	c=2 d=1 t=11053
kan zhuang tai 	看狀態	c=1 d=1 t=10639
kang zhuang 	康莊	c=1 d=1 t=986
kao 	考	c=1 d=0.104339 t=7295
kao bei 	拷貝	c=1 d=1 t=467
kao gong wu yuan 	考公務員	c=2 d=1.99005 t=7111
kao jin qu 	考進去	c=1 d=1 t=491
kao lao 	犒勞	c=1 d=0.293349 t=11253
kao lao yi xia 	犒勞一下	c=1 d=1 t=10899
kao lao zi ji 	犒勞自己	c=1 d=1 t=11254
kao le 	考了	c=1 d=1 t=7127
kao lv 	考慮	c=2 d=0.0461896 t=11992
kao lv de 	考慮的	c=1 d=1 t=3439
kao pu 	靠譜	c=0 d=0.1 t=4710
kao qian 	考前	c=2 d=0.0703445 t=11992
kao shi 	考試	c=3 d=1.01626 t=7311
kao xiang 	烤箱	c=1 d=0.0655462 t=11992
kao yan 	考驗	c=1 d=1 t=9883
ke 	可	c=0 d=0.1 t=4041
ke bian 	可變	c=1 d=1 t=903
ke che xiao 	可撤銷	c=1 d=1 t=4042
ke fu 	客服	c=1 d=1.08511 t=6575
ke hu 	客戶	c=1 d=1.03119 t=5226
ke hu ming cheng 	客戶名稱	c=4 d=2.44992 t=5149
ke kuo zhan 	可擴展	c=1 d=1 t=1601
ke mu 	科目	c=0 d=0.1 t=6209
ke mu er 	科目二	c=1 d=1 t=6210
ke nan 	柯南	c=1 d=1 t=11812
ke neng 	可能	c=3 d=1.00002 t=11094
ke neng shi 	可能是	c=1 d=0.56836 t=11992
ke pu 	科普	c=0 d=0.1 t=6201
ke san 	科三	c=1 d=1 t=6208
ke shi 	可使	c=0 d=0.1 t=2408
ke shi 	可是	c=1 d=1 t=2410
ke xi 	可惜	c=2 d=1 t=10058
ke xi le 	可惜了	c=1 d=1 t=6607
ke yi 	可以	c=35 d=1.64578 t=11992
ke yi bu 	可以不	c=1 d=1 t=7894
ke yi bu qu 	可以不去	c=1 d=1 t=9753
ke yi de 	可以的	c=10 d=0.479901 t=11992
ke yi fa 	可以發	c=1 d=1 t=8752
ke yi kan 	可以看	c=1 d=1 t=9668
ke yi le 	可以了	c=8 d=1.99334 t=8477
ke yi le mei 	可以了沒	c=1 d=1 t=6377
ke yi ma 	可以嗎	c=1 d=1 t=4430
ke yi ya 	可以呀	c=1 d=0.384813 t=11992
ke yi yo 	可以唷	c=2 d=1 t=10267
ken ding 	墾丁	c=1 d=1 t=474
ken ding 	肯定	c=6 d=0.135335 t=11992
ken ding bu shi 	肯定不是	c=1 d=0.178173 t=11992
ken ding kan bu dao 	肯定看不到	c=2 d=1 t=8894
ken ding shi 	肯定是	c=3 d=0.21119 t=11992
keng 	坑	c=4 d=1.96022 t=8831
keng bu keng 	坑不坑	c=1 d=1 t=8727
keng le 	坑了	c=1 d=1 t=4807
keng si 	坑死	c=1 d=1 t=8788
kong 	孔	c=1 d=1 t=5608
kong 	空	c=4 d=1 t=11285
kong gang 	空港	c=0 d=0.1 t=5704
kong gang jia yuan 	空港佳園	c=1 d=1 t=5705
kong ge 	空格	c=1 d=1 t=4412
kong jiang 	空降	c=1 d=1 t=5491
kong le 	空了	c=2 d=1 t=7623
kong pa 	恐怕	c=1 d=1 t=757
kong zhe 	空着	c=2 d=1 t=7385
kong zhi 	控制	c=4 d=0.320454 t=11992
kong zhi ji shu 	控制技術	c=1 d=0.0322254 t=11992
kong zhi le 	控制了	c=1 d=1 t=7800
kong zhi mian ban 	控制面板	c=1 d=1 t=11987
kong zhi tai 	控制檯	c=2 d=1.55156 t=132
kou 	口	c=2 d=1 t=4859
kou 	摳	c=1 d=1 t=10228
kou qiang kui yang 	口腔潰瘍	c=1 d=1 t=7585
ku 	庫	c=5 d=1.00514 t=9741
ku wei 	枯萎	c=1 d=1 t=10892
kua zhang 	誇張	c=0 d=0.1 t=753
kuai 	快	c=6 d=1.46785 t=11438
kuai ji 	會計	c=0 d=0.1 t=5993
kuai jie jian 	快捷鍵	c=1 d=0.118838 t=11992
kuai lai 	快來	c=1 d=1 t=8697
kuai qu 	快去	c=1 d=1 t=6023
kuai yi dian 	快一點	c=1 d=1 t=8827
kuai yo 	快哟	c=1 d=1 t=11562
kui le 	虧了	c=1 d=1 t=11268
kuo zhan 	擴展	c=5 d=1 t=4582
la 	拉	c=1 d=1 t=3031
la 	辣	c=1 d=1 t=4103
la bu chu 	拉不出	c=1 d=1 t=3026
la jin lai 	拉進來	c=0 d=0.1 t=2799
lai 	來	c=14 d=0.0332871 t=11992
lai de 	來的	c=1 d=0.622483 t=11992
lai de kuai 	來的快	c=1 d=1 t=469
lai gai 	來改	c=1 d=1 t=6701
lai jia ban 	來加班	c=1 d=1 t=9448
lai le 	來了	c=3 d=0.0854553 t=11992
lai le kan 	來了看	c=1 d=1 t=6333
lai pan duan 	來判斷	c=1 d=1 t=3228
lai shuo 	來說	c=1 d=1 t=7697
lai xia 	來下	c=1 d=1.02822 t=1408
lai zhe 	來着	c=6 d=1.13464 t=8589
lai zhe bian 	來這邊	c=1 d=1 t=3639
lan 	懶	c=2 d=1.00046 t=5075
lan kou 	蘭蔻	c=1 d=1 t=6277
lan zhou 	蘭州	c=4 d=1.75761 t=3753
lan zhou ren 	蘭州人	c=1 d=1 t=3754
lang 	浪	c=1 d=1 t=3572
lang fei 	浪費	c=0 d=0.1 t=4934
lao 	老	c=0 d=0.1 t=969
lao ban 	老闆	c=2 d=0.044601 t=11992
lao da 	老大	c=1 d=1 t=5495
lao le 	老了	c=1 d=1 t=4227
lao mao 	老耄	c=0 d=0.0245367 t=11992
lao mao tao 	老耄桃	c=1 d=0.246597 t=11992
lao po 	老婆	c=2 d=1 t=11748
lao qu 	老區	c=1 d=1 t=3649
lao ren tai duo 	老人太多	c=1 d=1 t=970
lao shi 	老師	c=1 d=1 t=255
lao shi 	老是	c=0 d=0.1 t=10756
lao shi zuo zhe 	老是坐着	c=1 d=1 t=10757
lao si ji 	老司機	c=1 d=1 t=3873
lao wai 	老外	c=1 d=1 t=3997
lao xiang 	老鄉	c=1 d=1 t=3576
lao yi bei 	老一輩	c=1 d=0.644036 t=11992
le 	了	c=227 d=3.90771 t=11992
le ba 	了吧	c=9 d=0.406905 t=11992
le bei 	了唄	c=1 d=1 t=2907
le de 	了的	c=7 d=1.70808 t=11124
le de hua 	了的話	c=1 d=1 t=10
le lai 	了來	c=2 d=0.0510475 t=11992
le ma 	了嗎	c=8 d=1.01288 t=8464
le mai 	了邁	c=2 d=1.00033 t=9294
le mei 	了沒	c=1 d=0.100546 t=8012
le ne 	了呢	c=2 d=1.95123 t=1236
le wo de 	了我的	c=1 d=1 t=1368
le xia 	了下	c=1 d=1 t=6517
le yi 	了一	c=0 d=0.1 t=6950
le yi bian 	了一遍	c=1 d=1 t=1155
le yi bu fen 	了一部分	c=1 d=1 t=6951
le yi jing 	了已經	c=1 d=1 t=3136
le yo 	了喲	c=4 d=1.06913 t=11181
le zai 	了在	c=1 d=1 t=5636
lei 	嘞	c=1 d=1 t=7775
lei 	累	c=1 d=1 t=5956
lei 	蕾	c=1 d=1 t=6017
lei 	類	c=8 d=4.32535 t=442
lei jia 	雷佳	c=0 d=0.1 t=5970
lei jia yin 	雷佳音	c=1 d=1 t=5971
lei ming 	類名	c=2 d=1.97045 t=158
lei shen 	雷神	c=1 d=1 t=545
lei si 	累死	c=0 d=0.1 t=9851
lei si 	類似	c=0 d=0.1 t=35
lei si ni 	累死你	c=1 d=1 t=9852
lei xing 	類型	c=2 d=1 t=10234
leng 	冷	c=28 d=0.584597 t=11992
leng lao ban 	冷老闆	c=1 d=1 t=3655
leng leng qing qing 	冷冷清清	c=1 d=1 t=4274
leng xian sen 	冷先森	c=8 d=1.00007 t=11818
leng xing da 	冷興達	c=1 d=1 t=8078
leng zong 	冷總	c=2 d=1.48919 t=3314
li 	力	c=3 d=1.00267 t=6666
li 	李	c=1 d=0.98692 t=8310
li 	裏	c=2 d=0.0984992 t=11992
li bian 	裏邊	c=12 d=1.02828 t=9943
li hai 	厲害	c=3 d=0.771059 t=11992
li jie 	理解	c=0 d=0.1 t=6534
li jie qing chu 	理解清楚	c=1 d=1 t=6535
li le 	離了	c=0 d=0.1 t=5733
li lun 	理論	c=1 d=0.0139818 t=11992
li ma 	立馬	c=1 d=0.0403566 t=11992
li run 	利潤	c=1 d=1 t=4065
li shi 	歷史	c=0 d=0.1 t=11108
li shi gong dan 	歷史工單	c=1 d=1 t=11109
li wu 	禮物	c=0 d=0.1 t=10359
li yong 	利用	c=0 d=0.1 t=640
li yong de hen chong fen 	利用得很充份	c=1 d=1 t=641
li yu 	李玉	c=0 d=0.1 t=2045
li yu 	理喻	c=0 d=0.1 t=2043
li yu zhu 	李玉竹	c=2 d=1 t=5989
li yu zhu 	理喻竹	c=1 d=1 t=2044
li yun feng 	李雲峯	c=1 d=1 t=8311
lian bu shang 	連不上	c=3 d=1 t=11410
lian jie 	连接	c=1 d=1.0802 t=11424
lian jie 	鏈結	c=0 d=0.1 t=2970
lian tiao 	聯調	c=3 d=1 t=5601
lian wang 	聯網	c=0 d=0.1 t=4106
lian xi 	連繫	c=1 d=1 t=3595
liang 	兩	c=1 d=1 t=8917
liang bai 	兩百	c=1 d=1 t=762
liang fang 	兩房	c=1 d=1 t=4469
liang ge 	兩個	c=7 d=1.06967 t=11129
liang ge ren 	兩個人	c=1 d=1 t=9530
liang hun liang su 	兩葷兩素	c=1 d=1 t=5145
liang jiang xin qu 	兩江新區	c=1 d=1 t=5739
liang nian 	兩年	c=2 d=1.54064 t=5392
liang ren 	兩人	c=1 d=1 t=5337
liang shi 	兩室	c=1 d=1.09753 t=1014
liang shi yi ting 	兩室一廳	c=1 d=1 t=1010
liang tai 	兩臺	c=1 d=1 t=4345
liang tiao 	兩條	c=1 d=1 t=6013
liang xin 	良心	c=1 d=1 t=2867
liao de 	聊得	c=0 d=0.1 t=867
liao de ting duo de 	聊得聽多的	c=1 d=1 t=868
liao jie 	了結	c=0 d=0.1 t=9899
liao jie 	瞭解	c=1 d=1 t=9901
liao tian 	聊天	c=1 d=1 t=8575
lie biao 	列表	c=1 d=1 t=11396
lin shi 	臨時	c=0 d=0.1 t=8509
lin shi jia xu qiu 	臨時加需求	c=1 d=1 t=8510
lin zou 	臨走	c=0 d=0.1 t=6124
ling gan 	靈感	c=1 d=1.0827 t=4399
ling ling 	零陵	c=0 d=0.1 t=2869
ling ling shang jiang 	零陵上將	c=2 d=1.00613 t=3889
ling wai 	另外	c=1 d=1.00007 t=8313
ling wai ge 	另外個	c=1 d=1 t=6868
ling xing 	零星	c=2 d=1.00002 t=4818
liu 	六	c=1 d=1 t=9015
liu 	劉	c=1 d=1 t=4715
liu bai duo 	六百多	c=0 d=0.1 t=11374
liu bai duo ci 	六百多次	c=1 d=1 t=11375
liu bai duo tiao 	六百多跳	c=1 d=1 t=11382
liu cheng 	流程	c=11 d=1.37957 t=10786
liu cheng bian liang 	流程變量	c=1 d=1 t=1315
liu cheng tu 	流程圖	c=1 d=1 t=727
liu dian ban 	六點半	c=1 d=1 t=7738
liu han wen 	劉漢文	c=3 d=1.9802 t=9502
liu le 	溜了	c=2 d=1 t=11808
liu liang 	六兩	c=1 d=1 t=7767
liu liang 	流量	c=2 d=1.0696 t=8301
liu liu qiu 	溜溜球	c=1 d=1 t=10181
liu mou 	劉某	c=0 d=0.1 t=3201
liu mou ren 	劉某人	c=1 d=1 t=3202
liu shui 	流水	c=10 d=2.9218 t=11388
liu xia 	留下	c=1 d=1 t=3419
liu xia lai 	留下來	c=1 d=0.078473 t=11992
liu yu 	劉宇	c=3 d=1.9802 t=5413
liu zai 	留在	c=0 d=0.1 t=3510
liu zai zhe bian 	留在這邊	c=1 d=1 t=3511
lo 	咯	c=3 d=1.40269 t=9386
long 	龍	c=0 d=0.1 t=11781
long hun 	龍魂	c=1 d=0.444858 t=11992
lou 	樓	c=0 d=0.136604 t=5122
lou 	漏	c=1 d=1 t=10800
lou ceng 	樓層	c=0 d=0.1 t=7923
lou xia 	樓下	c=1 d=0.26982 t=11992
lou yi shou 	露一手	c=1 d=1 t=5187
lu guo 	路過	c=1 d=0.240509 t=11992
lu jing 	路徑	c=4 d=2.82392 t=1713
lu yin 	路音	c=1 d=1 t=6224
lu you 	路由	c=0 d=0.1 t=10274
lu you jia zai 	路由加載	c=1 d=1 t=10275
luan 	亂	c=1 d=1 t=4328
luan dian 	亂點	c=1 d=1 t=7937
luan gao 	亂搞	c=1 d=1 t=4318
luan ji ba 	乱几把	c=0 d=0.1 t=11967
luan ji ba xie 	乱几把寫	c=1 d=1 t=11968
lun 	論	c=0 d=0.1 t=3412
lun fa zhan 	論發展	c=1 d=1 t=3413
luo 	駱	c=1 d=1 t=11984
luo chun lian 	骆春莲	c=2 d=1.99501 t=11906
luo ji 	邏輯	c=1 d=1 t=8075
luo ji jie gou 	邏輯結構	c=1 d=0.0136366 t=11992
lv deng 	綠燈	c=0 d=0.1 t=3885
lv deng xing 	綠燈行	c=1 d=1 t=3886
lv you 	旅遊	c=1 d=0.1 t=11447
lv you bu liao 	旅遊不了	c=1 d=1 t=11448
ma 	嗎	c=58 d=0.97578 t=11992
ma 	嘛	c=17 d=1.45473 t=6688
ma 	媽	c=4 d=2.01904 t=3919
ma 	碼	c=0 d=0.1 t=9693
ma 	馬	c=0 d=0.1 t=538
ma de 	瑪德	c=1 d=1 t=8708
ma fan 	麻煩	c=4 d=1 t=11526
ma fei 	馬飛	c=1 d=1 t=542
ma ma 	媽媽	c=3 d=1.00002 t=3360
ma sai ke 	馬賽克	c=1 d=1 t=2885
ma shang 	馬上	c=7 d=1.02668 t=10224
ma shang yong 	馬上用	c=1 d=1 t=3095
mai 	買	c=2 d=0.145384 t=10359
mai 	賣	c=2 d=1 t=8293
mai 	邁	c=8 d=1.99686 t=11681
mai bu qi 	買不起	c=2 d=1.98511 t=11247
mai che 	買車	c=2 d=0.0531786 t=11992
mai de 	買的	c=3 d=0.653192 t=11992
mai fang 	買房	c=1 d=1 t=3669
mai fei rou 	買肥肉	c=1 d=1 t=10202
mai ge 	買個	c=3 d=1.00114 t=10875
mai hua 	買花	c=1 d=1 t=10866
mai le 	買了	c=2 d=0.0656109 t=11992
mai le che 	買了車	c=1 d=1 t=4800
mai li wu 	買禮物	c=1 d=1 t=10360
mai rou 	賣肉	c=1 d=1 t=10761
man 	慢	c=0 d=0.1 t=2176
man 	滿	c=1 d=1 t=2594
man de hen 	慢得很	c=1 d=1 t=2177
man le 	滿了	c=1 d=1 t=11421
man man 	慢慢	c=8 d=0.0689069 t=11992
man man ce 	慢慢測	c=1 d=1 t=8543
man man kan 	慢慢看	c=1 d=1 t=10089
man man kan 	漫漫看	c=0 d=0.1 t=2462
man man zuo 	慢慢做	c=1 d=1 t=659
man zu 	滿足	c=2 d=1.00011 t=6450
mang 	忙	c=5 d=0.0478349 t=11992
mang bu 	忙不	c=1 d=1.00351 t=5420
mang de hen 	忙得很	c=1 d=1 t=2668
mang lu 	忙碌	c=1 d=1 t=3525
mao 	毛	c=1 d=1 t=9566
mao 	貓	c=0 d=0.1 t=841
mao mi 	貓咪	c=0 d=0.00208584 t=11992
mao qian 	毛錢	c=0 d=0.1 t=10176
mao si 	貌似	c=3 d=1 t=10828
me 	麼	c=60 d=1.11104 t=11992
mei 	妹	c=2 d=1 t=11875
mei 	沒	c=34 d=0.0784568 t=11992
mei ba 	沒把	c=1 d=1 t=8109
mei ban fa 	沒辦法	c=1 d=1 t=806
mei bao cuo 	沒報錯	c=1 d=1 t=7156
mei bi yao 	沒必要	c=1 d=1 t=2338
mei cha chu lai 	沒查出來	c=1 d=1 t=10459
mei cha dao 	沒查到	c=1 d=1 t=218
mei chuan 	沒傳	c=0 d=0.1 t=3905
mei chuan wan 	沒傳完	c=1 d=1 t=3906
mei da kai 	沒打開	c=1 d=1 t=5175
mei dai 	沒帶	c=1 d=0.0147723 t=11992
mei de 	沒得	c=3 d=0.755784 t=11992
mei dong 	沒動	c=1 d=0.0672055 t=11992
mei dui 	沒對	c=1 d=1 t=9757
mei fa 	沒發	c=2 d=0.0515605 t=11992
mei fa cheng gong 	沒發成功	c=1 d=1 t=4569
mei fang 	沒放	c=1 d=1 t=10039
mei gan 	沒敢	c=1 d=1 t=2591
mei guan xi 	沒關係	c=1 d=0.130681 t=11992
mei guo 	沒過	c=2 d=1.00115 t=7272
mei he 	沒喝	c=1 d=1 t=4520
mei hua 	美化	c=3 d=2.73451 t=2736
mei hua zhuang 	沒化妝	c=1 d=0.0397557 t=11992
mei huan 	沒換	c=1 d=1 t=6840
mei hui qu 	沒回去	c=1 d=1 t=3569
mei ji lu 	沒記錄	c=1 d=1 t=11050
mei jian guo 	沒見過	c=1 d=1 t=6294
mei kai 	沒開	c=1 d=1 t=8165
mei kai nuan qi 	沒開暖氣	c=1 d=1 t=574
mei kan 	沒看	c=0 d=0.1 t=1215
mei kan chu lai 	沒看出來	c=1 d=1 t=1255
mei kan dao 	沒看到	c=4 d=1.92312 t=10504
mei kan dao 	沒砍倒	c=1 d=1 t=1215
mei kan dao ni 	沒看到你	c=1 d=1 t=4266
mei kong 	沒空	c=0 d=0.1 t=5425
mei le 	沒了	c=1 d=1 t=8093
mei na ge 	沒那個	c=1 d=1 t=326
mei ni shu 	沒你熟	c=1 d=1 t=782
mei nian 	每年	c=1 d=1 t=5793
mei nv 	美女	c=2 d=1 t=10642
mei pai hao 	沒拍好	c=1 d=1 t=6978
mei pei zhi hao 	沒配置好	c=1 d=1 t=86
mei qing 	沒請	c=0 d=0.1 t=1577
mei qu 	沒去	c=3 d=1.90937 t=10839
mei qu bie 	沒區別	c=1 d=1 t=9865
mei qu guo 	没去过	c=1 d=1 t=11858
mei ren 	沒人	c=4 d=1.00006 t=9037
mei sha 	沒啥	c=3 d=0.264474 t=10339
mei sha wen ti 	沒啥問題	c=2 d=1 t=9922
mei sha yong 	沒啥用	c=1 d=0.0149956 t=11992
mei sha zi 	沒啥子	c=1 d=1 t=9333
mei shen me 	沒什麼	c=1 d=1 t=5118
mei sheng xiao 	沒生效	c=1 d=1 t=1163
mei shi 	沒事	c=6 d=1.36255 t=9458
mei shi zuo 	沒事做	c=1 d=1 t=3091
mei shou dao 	沒收到	c=1 d=0.1 t=6801
mei shua 	沒刷	c=1 d=1 t=10783
mei shui hao 	沒睡好	c=1 d=1 t=5166
mei shui zhao 	沒睡着	c=1 d=1 t=3293
mei shuo 	沒說	c=1 d=1 t=3687
mei sou 	沒搜	c=1 d=1 t=5740
mei sou dao 	沒搜到	c=1 d=1 t=5736
mei wen 	沒問	c=1 d=1 t=4683
mei wen ti 	沒問題	c=9 d=1.99459 t=11416
mei xi 	沒戲	c=2 d=1.00106 t=7094
mei xi le 	沒戲了	c=1 d=1 t=5707
mei xia lai 	沒下來	c=1 d=1 t=6108
mei yao dao 	沒搖到	c=1 d=1 t=1214
mei yi chang 	沒異常	c=1 d=1 t=10682
mei yi ge 	每一個	c=1 d=1 t=5903
mei yi si 	沒意思	c=0 d=0.1 t=10353
mei yi yi 	沒意義	c=1 d=1 t=10791
mei yong 	沒用	c=4 d=1 t=6557
mei yong dao 	沒用到	c=1 d=1 t=2246
mei you 	沒有	c=24 d=0.057719 t=11992
mei you 	沒油	c=1 d=0.0204453 t=11992
mei you ni de 	沒有妳的	c=2 d=1 t=7350
mei you ren 	沒有人	c=2 d=1.98511 t=4445
mei you zai 	沒有在	c=1 d=1 t=6424
mei yuan 	美元	c=1 d=1 t=3588
mei yuan 	美院	c=1 d=1 t=3592
mei zen me 	沒怎麼	c=3 d=1 t=9615
mei zhao dao 	沒找到	c=1 d=1 t=5885
mei zhuang 	沒裝	c=1 d=1 t=28
mei zi 	妹子	c=1 d=1 t=7199
mei zi zi 	美滋滋	c=3 d=1.00171 t=8850
mei zuo 	沒做	c=0 d=0.1 t=3479
mei zuo hao 	沒做好	c=1 d=1 t=3480
men 	們	c=1 d=1 t=9044
men dao 	門道	c=1 d=1 t=7106
meng bi 	朦蔽	c=1 d=1 t=10152
mi ma 	密碼	c=2 d=1.00001 t=4118
mi xian 	米線	c=1 d=1 t=5126
mian 	麪	c=0 d=0.1 t=3962
mian shi 	面試	c=7 d=1.00006 t=9355
mian shi guan 	面試官	c=1 d=1 t=7016
mian shi ti 	面試題	c=2 d=1 t=9475
miao 	秒	c=1 d=1 t=4182
